red,green,blue
184,142,74
242,132,0
108,162,166
129,201,29
224,107,188
10,251,71
149,37,111
236,252,84
47,63,169
33,193,145
143,202,161
60,165,104
50,233,242
251,140,98
199,27,121
132,214,10
26,108,212
177,245,88
100,243,255
51,26,243
43,240,57
27,109,120
241,157,202
196,160,110
224,43,59
251,2,67
187,187,215
160,137,63
48,186,247
166,148,103
102,249,205
78,28,133
246,194,63
8,230,13
216,139,172
2,1,155
176,61,90
103,131,137
105,100,128
205,9,0
205,103,81
223,245,37
181,65,229
26,25,177
62,76,42
13,76,72
72,111,38
183,254,69
32,239,63
201,8,250
211,138,159
212,160,20
232,243,45
176,219,184
148,54,150
242,240,54
9,74,172
163,78,230
129,249,159
108,124,192
40,124,57
58,36,29
134,21,148
197,144,136
107,219,4
14,84,229
221,131,53
40,153,173
128,247,39
145,68,121
178,91,212
110,194,127
100,185,154
87,209,218
213,180,121
44,213,151
72,50,252
37,71,118
118,177,124
97,122,104
154,79,112
126,105,68
69,82,93
81,210,82
170,199,64
100,117,64
13,86,29
105,175,216
107,25,14
83,165,0
202,130,145
35,0,126
95,43,207
229,199,101
0,44,54
164,149,209
243,178,237
2,250,37
25,130,25
213,194,94
22,118,186
214,50,64
147,185,118
210,56,93
19,240,88
136,127,198
164,44,29
82,61,208
207,53,132
37,33,30
1,215,250
88,99,7
116,109,75
171,194,30
245,25,41
126,121,246
243,127,165
69,133,243
186,124,205
247,52,163
188,155,131
234,185,165
143,19,166
62,168,15
49,68,150
19,105,62
121,127,230
104,237,91
213,76,38
148,143,85
57,215,15
227,198,56
105,2,132
110,3,172
228,120,245
204,128,202
88,140,121
217,153,178
117,168,214
121,134,135
109,241,173
115,182,247
90,12,21
67,238,15
214,150,170
240,99,2
87,68,158
119,61,180
90,4,185
17,92,138
248,238,124
245,238,64
200,240,103
233,77,185
77,242,194
141,181,21
178,77,162
153,181,186
74,178,39
96,109,146
139,186,188
161,189,14
72,29,210
104,251,0
127,207,140
137,167,129
216,57,55
232,32,150
216,182,6
118,98,142
126,214,246
177,215,2
246,19,150
95,92,31
164,1,168
104,28,150
164,201,227
0,131,147
84,237,172
220,97,89
18,151,246
125,32,103
225,16,188
204,86,246
92,80,196
212,195,142
48,6,175
252,248,5
242,158,195
123,46,24
128,66,48
191,40,156
219,30,118
183,38,111
186,235,52
77,53,170
148,225,132
46,85,40
184,250,38
230,108,20
87,177,235
26,130,147
185,229,251
245,202,228
177,56,32
168,162,199
165,247,51
93,67,1
17,230,224
202,238,58
244,112,252
33,202,102
132,120,254
4,242,146
233,217,203
184,141,153
49,84,70
204,239,214
122,182,190
186,200,64
30,166,254
153,113,105
154,124,216
72,38,173
193,106,18
65,148,64
146,153,171
178,56,9
248,208,166
92,170,94
65,170,208
38,73,118
103,94,239
221,205,114
199,219,198
28,193,132
66,0,49
174,4,58
58,255,84
17,209,228
200,83,94
255,147,74
241,223,130
106,184,53
106,43,51
191,237,107
213,225,185
70,41,156
61,21,37
230,167,135
200,21,116
94,165,9
6,56,116
200,52,77
140,109,138
33,43,225
183,73,98
196,204,107
69,194,209
166,165,185
69,237,229
250,100,74
28,10,100
161,223,250
77,81,117
111,135,57
97,241,163
135,164,223
